village,ticket_1,vote_1,ticket_2,vote_2
宜蘭縣頭城鎮,6407,37.17%,10826,62.82%
宜蘭縣礁溪鄉,10237,50.14%,10177,49.85%
宜蘭縣壯圍鄉,7710,54.24%,6504,45.75%
宜蘭縣員山鄉,9814,54.70%,8126,45.29%
宜蘭縣冬山鄉,16609,56.93%,12561,43.06%
宜蘭縣五結鄉,12155,55.99%,9551,44.00%
宜蘭縣三星鄉,6805,57.08%,5115,42.91%
宜蘭縣大同鄉,435,13.81%,2713,86.18%
宜蘭縣南澳鄉,193,6.29%,2872,93.70%
桃園縣桃園市,79120,36.64%,136775,63.35%
桃園縣龜山鄉,27438,36.95%,46802,63.04%
桃園縣八德市,32286,32.93%,65749,67.06%
桃園縣蘆竹鄉,29055,41.45%,41032,58.54%
桃園縣大園鄉,18939,44.50%,23613,55.49%
